"This city is home to a tall stainless steel spire with wire-clusters imitating stars at the top, a Richard Lippold work entitled Ad Astra. Nineteen men wearing helmets and raincoats march across a field in this city in a sculpture group known as The Column, part of a war memorial displaying the message, ""Freedom is not free."" I. M. Pei designed the East Building of the largest art museum in this city, which is also home to a Daniel Chester French sculpture of Abraham Lincoln seated on an armchair overlooking the Reflecting Pool. For 10 points, name this city also home to a block of black granite carved with the names of Vietnam War veterans, as well as the White House.","Washington, D.C."
"A rake lies at the bottom of this work, and a fluffy white dog to the right of it peeks over a bridge. Gabriel Doyen was initially asked to paint this work's subject, but refused and passed on the commission. A stone cupid observes to the left of the central figure in this painting, while two more cupids observe from the right. The central figure's lover (*) hides in the bushes at the bottom of this painting and gazes lewdly as her husband pushes the title device unawares. For 10 points, Jean-Honore Fragonard painted a girl with a billowing pink dress kicking her shoe off while riding the titular device in what masterpiece of the Rococo style?",The Swing
"The final of this composer's seven symphonies is a one movement piece titled a ""Fantasia sinfonica."" One of this man's works was part of incidental music for his brother-in-law's play and was literally titled ""Sad Waltz."" This composer of Valse Triste titled one of his works (*) ""Impromptu,"" and he used an English horn to depict a scene from the underworld with the title waterfowl mournfully swimming in his The Swan of Tuonela. This composer included pieces based off the Kalevala in the LemminkÃ¤inen Suite. This man composed a piece protesting Russian censorship of his homeland. For 10 points, name this composer of the patriotic Finlandia.",Jean Sibelius
"This composer wrote a piano Fantasy that begins in G minor and ends in B major. Schubert ripped the opening of his nineteenth piano sonata from this composer's 32 Variations in C minor. Another of his sets of variations randomly quotes Leporello's aria ""Notte e giorno faticar."" He included a virtuoso piano solo in his Choral Fantasy. This composer of piano pieces like the ""Eroica"" Variations published sets of seven, eleven, and six (*) bagatelles. Artur Schnabel and Rudolf Serkin are best known for their recordings of this composer's music. His piano sonatas have nicknames like ""Les Adieux,"" and he wrote 33 Variations on a Theme by Anton Diabelli. For 10 points, name this composer of the ""Tempest,"" ""Waldstein,"" and ""Pathétique"" sonatas, as well as ""Für Elise.""",Ludwig van Beethoven
"This artist painted the title artist resting an arm in a crutch with a bottle of wine balanced on his outstretched over-long leg in The Ghost of Vermeer of Delft Which Can Be Used As a Table. He pasted a photo of Shirley Temple's head over on top of a red sphinx in another painting. One of his works is just a plaster lobster attached to a telephone, and he made a red sofa shaped like Mae West's lips. This artist painted a flower growing from an egg as the title character stares into a pool in Metamorphosis of Narcissus. He collaborated with Luis Buñuel on the films L'Age d'Or and Un Chien Andalou. For 10 points, name this Spanish surrealist who painted melting clocks in The Persistence of Memory.",Salvador Dalí
"Near the opening of one film, this actor's character famously says ""there are some things a man just can't run away from""; later in that film, he notes ""Well, I guess you can't break out of prison and into society in the same week."" Another of his characters shoots three charging men after being told he's full of ""bold talk for a one-eyed fat man."" He was the first film actor to play a character who is hired to kill Tom Chaney by the Kim Darby-played fourteen-year-old girl Mattie Ross to avenge her father's death. For 10 points, name this actor who played Rooster Cogburn in True Grit and the Ringo Kid in Stagecoach, and starred in many other Westerns.",John Wayne
". In a scene from act three of this opera, staccato flute arpeggios represent the sound of the ""celestial harmony"" that the title character hallucinates. At the end of that scene, the title character of this opera is accompanied only by the flute and has to sing a high F. This opera's second act ends after the title character reluctantly signs a marriage contract, with the sextet ­""Chi mi frena."" After the title character of this opera stabs her husband Arturo, she imagines being married to Edgardo in a scene beginning ""Il dolce suono...."" For 10 points, name this Gaetano Donizetti opera based on a Walter Scott novel, in which the title character has a ""mad scene.""",Lucia di Lammermoor
"In a painting by this artist, a man leans on a broken barrel with his left arm and waves a white rag. This artist painted a woman with a gambling mania and a kleptomaniac as part of his series of portraits of the mental patients of Étienne-Jean Georget. This artist made several studies at a morgue in preparation for his most famous work. He painted a Napoleonic cavalryman sitting on a leopard skin and facing backwards on a rearing horse in The Charging Chasseur. This artist included an African man waving a red handkerchief at the top of a crowded 1819 painting that depicts the survivors of a shipwreck. For 10 points, name this French Romantic painter of The Raft of the Medusa.",
"This artist included the Barberini coat of arms on the plinths underneath the four Solomonic columns supporting one of his works. One of his marble sculptures shows Pluto's fingers digging into Proserpina's thigh during her abduction. Another of his sculptures depicts a reclining god holding a huge oar and another sitting on a pile of coins, both surrounding a massive obelisk. This artist created a bronze baldacchino for St. Peter's as well as the square outside of it. In one of his sculptures, an angel directs a spear at the title saint, highlighted by bronze ""rays"" in the background. For 10 points, name this sculptor of the Fountain of the Four Rivers and The Ecstasy of St. Theresa.",Gian Lorenzo Bernini
"This composer wrote a C-major piano fantasy in four linked movements, all based on repeated chords with a ""LONG-short-short"" rhythm. This composer's late works include his enormously long C-major quintet with two cellos. His ninth and last symphony begins with two horns in unison, and is often nicknamed ""The Great C Major."" This composer often used his lieder as the basis for instrumental works like the ""Wanderer"" Fantasy, an A-Major piano quintet that unusually substitutes a double bass for a second violin, and the ""Death and the Maiden"" Quartet. For 10 points, name this German early Romantic composer of the ""Trout"" Quintet and the ""Unfinished"" Symphony.",Franz
"A red one of these structures in Scotland is shaped like three elongated hexagons because of its unusual cantilevered design and is named for the River Forth. The largest of one type of these structures is partially named for the Kaikyo rail line. One of these structures, which is made of stone, was moved to Arizona from London, and is confused with one which is named for the Tower of London. The first of these to be made of cast iron was built in 1781 and is located near Coalbrookdale in England. John Augustus Roebling designed one of these in New York City that crosses the East River and is named for Brooklyn. For 10 points, name these structures exemplified by San Francisco's Golden Gate.",Bridge
"In a painting inspired by the art of this country, a woman in a black dress with a red sash tied around her waist stands on a blue rug. That painting inspired by this country's art hangs in the Freer Gallery, and is partially titled Rose and Silver. The style of Whistler's Peacock Room was inspired by art from this country. In this country, many paintings of beautiful women, called bijin-ga, were created by Utamaro. Fifty-three stations along this country's Tokaido road were painted by Hiroshige. For 10 points, name this country home to creators of ukiyo-e woodblock prints like Hokusai, whose The Great Wave off Kanagawa is part of his Thirty-six Views of Mount Fuji.",Japan
"Prokofiev's C-major third work in this genre begins with an elegiac clarinet solo. Bartok's first work in this genre begins with ominous repeated notes in the timpani. Shostakovich's first one of these works uses an orchestra of only strings and trumpet. Gershwin's only work in this genre also begins with a timpani solo and is in F Major. Rachmaninoff's second work in this genre was his first piece after a period of writer's block. Paul Wittgenstein commissioned Prokofiev's fourth and Ravel's D-minor works in this genre, both of which only use the soloist's left hand. For 10 points, name these works for a keyboard instrument and orchestra.",Piano concerto
