"This artist painted a woman with a sword in a burning landscape where a dark river flows into a giant mouth. In another work by him, skeletons with trumpets and spears kill people in a desolate landscape alongside a cart full of skulls. In addition to Dulle Griet and The Triumph of Death, he painted a man holding a kabob and riding a barrel while being pushed towards a sickly man with an oar in The Fight Between Carnival and Lent. This man also painted a work in which a man and his donkey plow a field on a hill while a ship sails away from a small splash in the background. For 10 points, name this artist of The Peasant Wedding and Landscape with the Fall of Icarus.",Pieter Bruegel the Elder,artist
"This composer wrote ""Sine Nomine"" while music editor of the Hymnal of his home nation, and his cantatas include Toward the Unknown Region. He also made pieces from The Pilgrim's Progress and Riders to the Sea. A poem by George Meredith about the title bird inspired his The Lark Ascending, and he adapted his music for Scott of the Antarctic into Sinfonia Antarctica. He also adapted a ditty supposedly written by Henry VIII into part of his opera Sir John in Love, while his symphonies include A Sea Symphony and A London Symphony. For 10 points, name this English composer of Fantasia on ""Greensleeves"" and Fantasia on a Theme of Thomas Tallis.",Ralph Vaughan Williams,composer
"In the chorus of one song in this work, the alto belter female lead transitions from the note E4 to E5 while singing the word ""out"". Act 2 of this musical begins with a repeated two-measure theme of F major piano chords over which the cast sings ""In inches, in miles, in laughter, in strife"". This musical contains ""Out Tonight"", ""Life Support"" and ""Seasons of Love"", sung by characters like Roger Davis and Mimi Marquez. For 10 points, name this Jonathan Larson musical centering on a circle of Lower East Side artists with HIV who sing ""We're not gonna pay"" the title cost.",Rent (musical),composition
"A murder attempt by one character in this work is forgiven in the aria ""In diesen heil'gen Hallen."" Earlier another character sings a love song to a picture of a woman presented to him by the Three Ladies in ""Dies Bildnis Ist Bezaubernd Schon."" One character in this opera is ordered to commit murder by her mother, who sings of how ""Hell's vengeance boils in her heart"" in her most famous aria. In this opera, a prayer to Isis and Osiris is sung by the priest, Sarastro, and an aria about birdcatching is sung by Papageno, who helps save the Queen of the Night's daughter, Pamina. For 10 points, name this Mozart singspeil about Tamino's title instrument.",The Magic Flute,composition
"Francis Picabia created a Portrait of this artist that consisted of a toy monkey nailed to a board. This artist's early works, The House of the Hanged Man, and a takeoff of a Manet work, A Modern Olympia, were included in the first Impressionist exhibition. Known for a genre that includes Rideau, Crouchon, et Compotier, this Frenchman painted The Basket of Apples and many other still lifes. For 10 points, name this Post-Impressionist who painted The Large Bathers as well as several versions of The Card Players and numerous views of Mont Sainte-Victoire.",Paul Cézanne,artist
"One album by this artist includes ""The Pan Piper,"" ""Saeta,"" and ""Solea,"" written by Gil Evans, while an album featuring this artist‟s nonet includes the song ""Boplicity."" He headed a sextet, including saxophonists Cannonball Adderley and (*) John Coltrane, for the songs ""Freddie Freeloader"" and ""So What."" For 10 points, what jazz trumpeter of Sketches of Spain appears on the covers of his albums Birth of the Cool and Kind of Blue?",Miles Davis,composer
"He presented a six part ricercare and trio sonata as part of his Musical Offering based on the King of Prussia's theme. Another late work of his consists of fourteen contrapuncti including a Canon at the Octave. The works of this composer of the Coffee Cantata were revived when Felix Mendelssohn conducted his St. Matthew Passion, and this composer of The Art of the Fugue also wrote twenty-four preludes and fugues in each key in The Well-Tempered Clavier. Composer of six concerti for a margrave, for 10 points, name this composer of The Brandenburg Concertos.",Johann Sebastian Bach,composer
"This artist created Lying Cows and Bulb Fields, as well as a painting of a room with a yellow vaulted ceiling and with open red doors. In addition to Entrance of the Hospital, he painted a series of portraits of the Roulin family; and two of his most famous works incorporate clocks that read 7:00 and 12:15. Notable for a depiction of four ugly peasants sitting around a table, a room highlighted by a billiards table in the middle, and a cypress tree overlooking Saint-Remy, this artist only painted for a decade. Name this red-headed Dutchman who painted The Potato Eaters, The Night Cafe, and Starry Night.",Vincent van Gogh,artist
"Working with Uday Shankar, she published a work discussing East Asian techniques in Oriental Impressions. She would develop a close friendship with Douglas Fairbanks who helped film a compilation of her various works. Accompanied by her husband Victor d'Andre, she made her American debut with Mikhail Mordkin in 1910 and briefly performed with Sergey Diaghilev's company, although she preferred to work independently. Training at the Marinksy Theater, she is famous for roles in Don Quijote, Giselle and Swan Lake, as well as for the 1905 Michael Fokine choreographed role in The Dying Swan. FTP, identify this Russian ballerina of the early twentieth century.",Anna Pavlova,composer
"The second to last part of this work is named for the site where Jesus revealed himself to the Apostles, and is also the name of the camp that the Hussites built in Bohemia, ""Tabor."" It was conceived of and premiered in pairs; the first of which begins with ""The High Castle,"" whose its theme is recalled in the next section, which begins with a rippling flute motif and is named for the river that runs through Prague, the Vltava, or ""Moldau,"". For 10 points, identify this set of six symphonic poems by Bedrich Smetana, the name of which is Czech for ""My Fatherland.""",Má vlast,composition
"Victor Herbert contributed to some of the transitional material in this composition, whose success led Walter Damrosch to commission its composer to write a piano concerto in F. After a muted trumpet plays a blues theme in its first movement, the full orchestra joins in before an extended piano solo; that solo was played by its composer at its premiere. Later orchestrated by Ferde Grofé, this piece was commissioned by the bandleader Paul Whiteman for 1924's Experiment in Modern Music. Beginning with a notable clarinet glissando, this is, for 10 points, what jazz composition by George Gershwin?",Rhapsody in Blue,composition
"In the 20th century, Raymond Leppard worked over Joseph Joachim's orchestration of one of this composer's pieces, a sonata in C called the Grand Duo. The tonality of the Andante second section of one work by this composer rises chromatically from F major to A minor. The two symphonies this composer wrote in C major are differentiated by the words ""Great"" and ""Little"" and he also wrote a work that replaces a usual violin with a double bass and depicts a swimming fish. This man's eighth symphony has only two movements that known to be complete. For 10 points, name this Austrian composer of the Trout Quintet and his Unfinished Symphony.",Franz Schubert,composer
"This painter depicted a mustachioed man behind two white-clad women holding closed-up umbrellas in one work, and the green shoes of a trapeze artist in the upper-left in another. In one of his works, a reclining nude accepts a bunch of flowers from a black servant, while three figures lounge near a blue tablecloth and some food while a nude woman bathes herself in a creek in the background in another. For 10 points, name this painter of The Balcony, A Bar at the Foiles-Bergeres, Olympia, and Luncheon on the Grass.",Édouard Manet,artist
"In one of this man's works, an angel holds a crown over the Virgin Mary as she presents the infant Jesus to a Burgundian politician. This artist of The Madonna of Chancellor Rolin painted Man in a Red Turban and completed a work featuring a central panel showing the Adoration of the (*) Lamb that was begun by his brother Hubert. Another of his works shows a chandelier hanging over a woman in a green dress and her top-hat-wearing husband. For 10 points, name this Dutch artist of the Ghent Altarpiece and The Arnolfini Wedding.",Jan van Eyck,artist
