Question,Column1,Answer,Label
"[""This painter showed a nun balancing a book on her head and a man in a tin hat poking at another's skull in his The Cure of Folly. A greenish figure's face is obscured by a long musical instrument, two figures kiss in front of a brown tree, and several pitchforks are raised towards the center, as Jesus looks on from a cloud, in another of his paintings. For 10 points, name this creator of 1490's The Haywain, who also showed a blue giraffe, a bird-monster eating a man, and a plethora of naked figures in his triptych The Garden of Earthly Delights.""]",0.790632568,['Hieronymus Bosch '],artist
"['This man had Robert Mosher supervise the use of reinforced concrete in a cantilevered structure. He designed the Gardenwall house for Malcolm Willey in the Prospect Park neighborhood of Minneapolis. He was fired after he designed a ""bootleg"" house for Allison Harlan. Los Angeles is home to the Hollyhock House of this architect, who exemplified both the Usonian style and the Prairie style and named his own homes Taliesin and Taliesin West. For 10 points, name this American architect who designed a house that overlooks a Pennsylvania creek, Fallingwater.']",0.891959891,['Frank Lloyd Wright'],artist
"['In one of this artist\'s works, smoke billows above a yellow and blue sign that reads ""Office & Plant Eshelman Est. 1881 FEED."" He referenced a French pastoral romance in the title of his painting of a factory, Aucassin and Nicolette. This artist of Buildings, Lancaster led the Precisionist movement and painted a grain elevator to resemble the monuments of an exotic country in My Egypt. In another of this man\'s paintings, part of the words ""bill"" and ""Carlos"" can be seen, as can three representations of the title number, which is above the initials ""W.C.W."" For 10 points, name this Philadelphian artist of I Saw the Figure 5 in Gold.']",0.819158456,['Charles Demuth'],artist
"[""A nude figure on a silvery steed floats over a woman lying on the ground in a silver cloak in this painter's Pity, and he created a work in which one figure reaches up to grab one of the blue leaves above him as other figures dance around in Oberon, Titania, and Puck With Fairies Dancing. He also executed a cycle on a certain creature which was depicted standing over a blue multi-headed beast emerging from water in one of those 4 paintings, which also included (*) The Number of the Beast is 666. This creator of the Great Red Dragon paintings showed God's hair being blown to the left as he emits two rays of light from his hand in The Ancient of Days. For 10 points, name this artist who depicted Urizen praying in front of the world in the frontispiece to his epic poem The Song of Los.""]",0.823067458,['William Blake '],artist
"['This man moved to Saratoga to study art with the portrait artist William Page. This man employed Timothy O\'Sullivan and Alexander Gardner, the latter of whom produced ""A Harvest of Death."" He produced The Gallery of Illustrious Americans before focusing on documenting a brewing (*) conflict. That new focus included almost being captured while working during the First Battle of Bull Run. For 10 points, name this American who took many photographs of both Abraham Lincoln and the Civil War.']",0.545571243,['Mathew Brady'],artist
"['In one work by this artist, a group of men struggle to steer a boat away from jagged rocks on the Isle of Wight. In addition to painting Fishermen at Sea, this artist painted a work in which onlookers on the River Thames watch the Burning of Parliament, and he also depicted Hannibal and his army crossing the Alps in a snowstorm. In another painting, this man depicted the title vessel leaving behind a group of shackled people in the ocean, and in another work, he depicted a rabbit running alongside a train on the Maidenhead Railway Bridge. For 10 points, name this British artist of The Slave Ship and Rain, Steam, and Speed.']",0.759990523,['Joseph Mallord William Turner '],artist
"['This artist showed a yellow-clad feminine archer on horseback above cowering nude women in his sole history painting, which he retitled Misfortunes of the City of Orleans. This painter showed four tanned European girls wearing only loincloths, who taunt nude stretching boys, in Young Spartans Exercising. He often painted the backs of nude women combing or drying themselves, such as in Woman in the Bath and La Toilette. This artist showed a man reading a newspaper by a table piled high with white fluff in A Cotton Office in New Orleans and painted a glum woman in his Absinthe Drinker. For 10 points, name this French painter who was unhealthily obsessed with ballerinas.']",0.021592416,['Edgar Degas '],artist
"['Margaret Livingstone proposed this artist may have been stereoblind, and his painting entitled Danae was damaged by a man with a knife and a liter of sulfuric acid. This artist painted a work in which a Greek philosopher rests his hand on a sculpture of a blind epic poet. Another painting by this man was commissioned by Captain Franz Banning Cocq, and is a group portrait that includes a girl holding a chicken and eighteen militiamen. For 10 points, name this Dutch painter of Aristotle with a Bust of Homer and The Night Watch.']",0.701447553,['Rembrandt Harmenszoon van Rijn'],artist
"['This artist included a portrait titled The Lullaby along with one of the postmaster Joseph Roulin in his planned decorations for the Yellow House. While being visited by Paul Gauguin, he was depicted as The Painter of Sunflowers. One of his paintings showing peasants having a dimly lit dinner is titled The (*) Potato Eaters, while another of his works prominently uses red and green and shows yellow lights above a billiards table. His most famous painting contains a cypress tree in Saint-R\xc3\xa9my-de-Provence located under swirling stars and the moon. The Night Caf\xc3\xa9 is a work by, for 10 points, what artist of Starry Night?']",0.751926433,['Vincent Willem Van Gogh'],artist
"['While in Rome, this artist depicted a muscular title character who brandishes white-hot iron in one hand while Apollo enters the central scene. This artist depicted the voluminous black hair of a man wearing a green coat in one of his portraits. A drunken outdoor feast culminates in the drunken crowning one of the revelers in this artist\'s work that shows the triumph of Bacchus. This artist of a portrait of Juan de Pareja and Los Borrachos showed the titular goddess\'s face reflected towards the viewer in his Rokeby Venus. He also depicted Ambrosio Spinola receiving the keys of a city in a painting also sometimes called ""The Lances."" For 10 points, name this artist who depicted the Surrender of Breda and also painted a dwarf and a large dog next to the Infanta Margarita in his Las Meninas.']",0.098198915,['Diego Velazquez'],artist
"['This artist depicted two girls embracing a knight who is handing gold to a kidnapper in his painting The Ransom. Charles Dickens wrote that the title figure of one of this man\'s works was ""a hideous, wry-necked, blubbering, red-haired boy in a night gown."" A rainbow appears in the background of a work by this man in which the title musician holds her sister. This painter of The Blind Girl and Christ in the House of His Parents made Elizabeth Siddal submerge herself in a freezing bath to pose as the title character of another of his paintings, in which the title figure is shown holding poppies, daisies, and pansies after drowning herself. For 10 points, name this English painter of Ophelia, a member of the Pre-Raphaelite Brotherhood.']",0.597059723,['John Everett Millais'],artist
"['In one painting by this man, a golden helmet and portraits of Albrecht Durer, Rembrandt, and Vincent van Gogh adorn the top and right side of an easel. The phrase ""Each according to the dictates of his own conscience"" appears at the top of this man\'s portrayal of an old woman holding her hands in prayer. This artist looks at a mirror and smokes a pipe while drawing himself smoking a pipe in his Triple Self-Portrait. His painting of a turkey dinner is the ""from want"" section of the Four Freedoms series. For 10 points, name this artist of Rosie the Riveter who designed covers for the Saturday Evening Post.']",0.523809562,['Norman Rockwell'],artist
"['This artist painted the family of the namesake burgomaster of Basel into a scene with the Virgin and Child in his Meyer Altarpiece, while two series of his woodcuts are the Old Testament and the Dance of Death. A woman holds a jug in her left hand and holds out her right while Jesus backs away in his Noli me Tangere. A famous painting by this artist features a silver cross in the upper left and a lute and some globes on a table, along with an anamorphic skull in the foreground and two French dignitaries. Another job of his led to portraits of Sir Thomas More, Anne of Cleves, and others. For 10 points, name this painter for Henry VIII of England who also painted The Ambassadors.']",0.652461788,['Hans Holbein the Younger '],artist
"['A woman\'s face is dimly superimposed on his The Old Guitarist, part of his Blue Period, and Garcon a la Pipe (""gar-SONE ah lah PEEP"") is part of his Rose Period. Another work by him depicts a light bulb shining above a horse under which lies a severed arm holding a broken sword. That work was painted in the aftermath of the bombing of a Basque town and is entitled Guernica (""GWAIR-nee-cah""). For 10 points, name this Spanish artist, a pioneer of Cubism.']",0.217859341,['Pablo '],artist
"[""In one scene by this artist set in the countryside, a pig and a horse are seen grazing in the background as his wife wearing a blue shirt lies on the ground. In addition to The Poet Reclining, this artist depicted himself in a red jacket holding a wine glass sitting on his lover's shoulders in a double portrait. On the left of one painting, this artist included black-clad troops carrying weapons and a red flag. The right side of that painting shows a (*) Lithuanian flag behind a burning place of worship. This artist's portraits often included his wife Bella Rosenfeld, who was also born in Vitebsk. He included two upside down houses, a woman milking a goat, and large green face with white lips in his masterpiece. For 10 points, name this Belarusian artist of The White Crucifixion and I and the Village.""]",0.913907248,['Marc Chagall'],artist
"['This painter showed Turkish warriors around wounded civilians of the namesake island in Massacre at Chios. He depicted an Assyrian king watching soldiers destroy his possessions and kill his concubines in a painting based on a Byron play, Death of Sardanapalus. Another of his works shows a man in a top hat holding a rifle and a boy holding two pistols. For 10 points, who painted a semi-nude woman carrying the French flag through piles of debris and bodies, Liberty Leading the People?']",0.518221809,['Ferdinand Victor Eugene Delacroix'],artist
"['A man in red leaning over some ramparts in front of a river cityscape can be seen through three arches in one work by this artist, which also shows a man in brown and gold robes kneeling at a Book of Hours in front of Mary. Another work by this artist of Madonna of Chancellor Rolin shows clergy, knights, prophets, and martyrs gathering for the central Adoration of the Lamb scene, and also shows God the Father enthroned in its top panel. This man is best known for a work with a circular mirror on the back wall, an open window at left, and a dog at the feet of a newly wedded couple. For 10 points, name this Flemish painter of The Ghent Altarpiece and The Arnolfini Wedding.']",0.040789827,['Jan van Eyck '],artist
"[""One of this artist's earlier works features several yellow vertical bars and a magenta horizontal bar, which was later shaded black, then back to magenta over the course of thirty years. That work, Little Spanish Prison, was created during a trip to Mexico, which also resulted in the appropriately-titled Mexican Sketchbook. His collage Surprise and Inspiration was at the center of his first one-man exhibition, and in 1991 he died in Provincetown, Massachusetts, where he had flung paint on canvases to create many of his Beside the Sea paintings. His work with color-field theory led to his Open series, but this artist is better remembered for his painting At Five in the Afternoon, which is reminiscent of another series comprised of paintings of black circles between black vertical bars on a white canvas. Once the husband of Helen Frankenthaler, this is, for 10 points, what American Abstract Expressionist best known for his series Elegy for the Spanish Republic?""]",0.080316654,['Robert Motherwell'],artist
"[""One of this man's sculptures is incomplete in such a way that its head appears to be sealed in marble, leading to its nickname of Blockhead Slave. Another of his sculptures depicts a man with bulging veins and a furious gaze running his fingers through his long beard. That work, based on a mistranslation of the Old Testament Hebrew, depicts Moses with horns and was made for the tomb of Pope Julius II. For 10 points, name this Renaissance Italian sculptor, who also depicted Mary cradling the dead Jesus in his Pieta.""]",0.334359324,['Michelangelo Buenarroti '],artist
"['This artist showed a man swinging a sledgehammer in a poster executed as a cover for The Morse Dial. This painter showed a seated brunette wearing only a pair of shoes staring out of an open window to her right in one work, while another of his paintings shows a blonde woman bending over to adjust the cloth base of a basket of fruit. He based many of the women in his paintings on the likeness of his wife, Josephine Nivison. This painter of (*) Eleven AM and Tables for Ladies showed a woman in a yellow hat sitting alone at a table staring into her cup of coffee in a different work. An advertisement for Phillies Cigars appears near the top of his best known painting, in which three people sit at a diner. For 10 points, name this American artist of Automat and Nighthawks.']",0.164782958,['Edward Hopper'],artist
"[""The nightdress-covered head of the corpse of this artist's mother may have influenced his painting of a couple titled Les Amants. This artist painted coffins in place of three women in his reimagining of The Balcony. He drew on the iconography of Fantomas for a painting of a man in front of a gramophone who is unaware of club- and net-wielding men lying in wait. This artist took leave of the Paris surrealists in 1930 to return to his home country, where he painted an indoor cannon in On the Threshold of Liberty, an easel depicting the landscape behind it in The Human Condition, raining men in Golconda, and a train jutting out from a fireplace in Time Transfixed. For 10 points, name this Belgian artist who enjoyed painting men in bowler hats.""]",0.599494559,['Rene Magritte '],artist
"[""This artist of the Gypsy Madonna painted an infant sticking his right arm into a sarcophagus, surrounded by a vain woman draped in white and a naked woman covered in red, in his allegory Sacred and Profane Love. This student of (*) Giorgione (jor-JO-nee) depicted two maids rummaging through a chest in a painting that inspired Manet's (mah-NAYZ) Olympia. In that painting by this artist, a dog slumbers at the feet of a reclining woman who only wears a bracelet. For 10 points, name the Venetian painter of Venus of Urbino.""]",0.246977744,['Titian '],artist
"['This artist used perspective to show several layers of arches in his gilded bronze bas relief depicting the Feast of Herod. This sculptor depicted a figure who has a wing on a piece of armor that he wears on the inside of his right leg. This artist sculpted a bald prophet in his piece Habbakuk, which acquired the nickname ""Zuccone"" meaning ""pumpkin-head."" This man also did a sculpture showing the intellectual Erasmo de Narni sitting on a horse. One of this sculptor\'s works shows a prepubescent boy with long curly hair who wears a helmet. For 10 points, name this Italian Renaissance sculptor of the Gattamelata and the bronze David.']",0.253506618,['Donatello '],artist
"[""In one of this man's works, a woman in a white hat fills four peasants' coffee cups below a lamp with a single candle. In another work, this man painted a bed with a yellow footboard and red blanket. In addition to The (*) Potato Eaters and Bedroom in Arles [AHRL], he painted swirling clouds and lights above the village of Saint-Remy [sahn reh-MEE] and two series of sunflower paintings. For 10 points, identify this Dutch artist who painted Starry Night.""]",0.195517207,['Vincent van Gogh'],artist
"['One work by this man depicting puti carrying away the cross was given to a French cardinal rather than its commissioner, whose ornate dress is emphasized more strongly in her own portrait than is her son Giovanni. Besides a deposition of Christ painted for the duchess (*) Eleanor of Toledo, this artist also painted a mostly-nude admiral holding a trident pointing up towards his name in his allegorical portrait of Andrea Doria as Neptune. The oldest title character of another work by this artist looms over a woman holding a golden apple and kissing her winged son. For 10 points, name this artist of Venus, Cupid, Folly, and Time.']",0.744474944,['Agnolo Bronzino'],artist
"['One work by this artist shows a bonnet-wearing woman carrying a butcher knife to the left of the artist\'s sister Katherine. Gertrude K\xc3\xa4sebier and Clarence H. White joined an art movement led by this artist, which was created as a response to England\'s The Link Ring. Ten of his works called ""Music"" evolved into his series of abstract cloud depictions called (*) Equivalents. Horses pull a trolley labeled ""Harlem"" in his photograph The Terminal. In Camera Work, he frequently published the works of Edward Steichen, a man who co-founded New York\'s Gallery 291 with him. For 10 points, name this Photo-Secession photographer of The Steerage, the husband of Georgia O\'Keeffe.']",0.282709071,['Alfred Stieglitz'],artist
"['Later in his career, he completed darker religious works such as Christ Carrying the Cross and The Scourging of Christ. Other works by this artist']",0.75245681,['Titian '],artist
"[""He worked on the restoration of Titian's Emperor Vitellius and Emperor Galba, while several of his own works were adapted into sculptures by Bernini. His Iconography series consists of portraits of several of his contemporaries.""]",0.818591297,['Sir Anthony Van Dyck '],artist
"[""This artist depicted a naked boy carrying a chair upside down on his head in his work The Wandering Saltimbanques. This artist did a series of twenty-nine paintings of Don Quixote. He created a sculpture of the satirical figure Ratapoil, and he mockingly portrayed Nadar flying in a balloon in one lithograph. In this artist's best-known work a boy lies asleep on the shoulder of an old woman carrying a basket, while men in top hats talk as they ride the titular vehicle. For 10 points, name this French artist and printmaker who painted The Third-Class Carriage.""]",0.580399518,['Honore Daumier'],artist
"[""In one of this artist's works, Adam and Eve hold up chalices to collect Jesus's blood on the cross. That is Dogma of the Redemption, which is a part of his Triumph of Religion mural cycle in the Boston Public Library. This man produced the official presidential portrait of Theodore Roosevelt. Several men sit against the wall playing guitar while a gypsy dances in his El Jaleo. This artist depicted two young girls with Chinese lanterns surrounded by flowers, and created another painting featuring Virginie Amelie Avegno Gautreau. The former painting is Carnation, Lily, Lily, Rose. For 10 points, name this artist of Portrait of Madame X.""]",0.361777994,['John Singer Sargent'],artist
"['One structure designed by this man features Pyrex tubing and over two hundred types of bricks, while another uses a bipartite design separated by a loggia. In addition to the Westcott House, this man planned out the Broadacre City and proposed his idea of suburbs in The Disappearing City. The creator of the Johnson Wax Headquarters and the Unity Temple in Oak Park, this man also designed the Robie House and two Taliesin studios. For 10 points, name this architect, a leader of the Prairie School who designed the New York Guggenheim Museum and Fallingwater.']",0.468761939,['Frank Lloyd Wright'],artist
"['An artist from this family painted a set of gradually-larger balloons rising from a shadowy city skyline in the painting Broken and Restored Multiplication. Before dying of typhoid fever contracted during his service in World War I, another artist from this family created the large bronze Cubist sculpture The Horse. Another artist from this family suggested the name ""Section d\'Or"" for a collective of Orphist and Cubist artists. The most famous artist from this family went to a confectioner\'s shop and painted the three rotating drums of a (*) chocolate grinder he saw there. Two brothers decided to set themselves apart from the rest of this family by adopting the surname of the poet Francois Villon. This family\'s most famous artist used a series of cones and cylinders as body parts in a painting said to resemble ""an explosion in a shingle factory,"" that was mysteriously designated ""No. 2"" and caused a stir at the Armory Show. For 10 points, give this surname of the painter of Nude Descending a Staircase.']",0.986161073,['Duchamp '],artist
"['This artist depicted the remnants of a tree hanging over the edge of a cliff after a lightning strike in Storm in the Mountains, and he showed a man walking toward the titular structure high on a cliff in The Monastery of San Pedro. His former home Olana is now a tourist site, and no single place inspired the setting of Twilight in the Wilderness. Various trips led to many of his works, including The Icebergs and Falls of Tequendama, as well as images of the volcanos Chimborozo and Cotopaxi. For ten points, name this student of Thomas Cole who painted a famous version of some New York falls in Niagara and an idealized South American landscape in Heart of the Andes.']",0.658381936,['Frederick Edwin Church'],artist
"['A man with this surname painted a crowned Jesus holding a lantern and knocking on a door in The Light of the World. That man founded the Pre-Raphaelite Brotherhood with Dante Rossetti and John Everett Millais. This word also titles a series of seven medieval tapestries which includes The Unicorn in Captivity, and a Rubens painting with this word in its title depicts a shirtless man holding a dagger frightened by a crocodile and a hippopotamus. Figures ice-skate in the distance as three men and several dogs return from this action and walk over a snowy hill in a Brueghel painting. For 10 points, name these events depicted in paintings where men pursue and kill animals.']",0.121979255,['hunt '],artist
"['One painting by this artist shows Diana with her left arm resting on the back of a woman with a pink dress while her right arm motions for the expulsion of Callisto. Another work by this painter shows two flailing cupids in the upper left corner and one riding a fish below while Europa holds a pink scarf on a white bull on the right side. This artist finished the landscape in a work by Giorgione [jor-JOH-nay] after Giorgione died in 1510, and this painter later set a similar work inside, adding a dog on the bed and a kneeling and standing woman in the background. Name this Venetian who painted Venus of Urbino.']",0.273888283,['Titian '],artist
"['One of this artist\'s works, featuring massive conglomerations of body parts against a desert landscape, is subtitled ""Premonition of Civil War"". A fish watches a landscape turn into a series of blocks in a work by this artist of Soft Construction with Boiled Beans, which shows the disintegration of his most famous work. One of his works show animals transforming into the image of different animals in a pool. This artist\'s most famous work depicts yellow clifs in its upper left corner and an orange object crawling with ants. For 10 points, name this Spanish surrealist artist of Swans Reflecting Elephants who painted melting watches in his The Persistence of Memory.']",0.700376912,['Salvador Dal\xc3\xad'],artist
"['A woman in a blue dress appears in the backseat of a car with the number 12 on it in one of this artist\'s works simply titled L\'automobile. A tophat and the word ""weak""appear near a figure on a bike in one work, and a bearded man in an orange shirt appears in this artist\'s Peasants Dancing, part of the ""Donkey\'s Tail"" exhibition. This painter of Cyclist is probably better known for a work in which women dressed in pink reach up to obtain the titular fruit, as well as being one of the founding members of the Jack of Diamonds group and promoting Rayonism with her husband. Famous for becoming the most expensive female painter with Picking Apples and The Flowers, for 15 points, name this Russian painter, the wife of Mikhail Larionov.']",0.222230012,['Natalia Goncharova '],artist
"[""Pegasus and Mercury hang out in the bottom corner of a painting by this artist in which Vulcan wears a red cape in a cave looking up at a pair of adulterers. The title figure wears a blue robe as she dumps a head into a sack in this artist's depiction of Judith and Holofernes. Besides his Parnassus, this artist took to mythological sources for a painting in which Diana is being carried off by a centaur as Minerva chases off the vices. That painting is his Triumph of the Virtues. This artist depicted a martyr riddled with arrows in his St Sebastian. For 10 points, name this Mantuan that used foreshortening in his Lamentation Over the Dead Christ.""]",0.545311185,['Andrea Mantegna'],artist
"['This artist included the works Purple Jumping Man and Green Car Crash in his Death and Disaster series. Valerie Solanas attacked this man, who also directed the five hour long film Sleep. His use of silkscreens at his studio, known as ""The Factory,"" helped him produce different depictions of celebrities, such as Mao Zedong and Marilyn Monroe. For 10 points, name this leader of the Pop Art movement known for coining the phrase ""fifteen minutes of fame"" and for his depictions of everyday objects like Campbell Soup cans.']",0.592321168,['Andy Warhol '],artist
"[""A Kenyon Cox portrait of this artist alludes to his own work by depicting him in profile, employing his non-traditional additive technique to a clay bas-relief. This artist's design of a torch-bearing nude in strong contrapposto was overturned after winning a commission, engendering this artist's long-running feud with Charles Barber. Eugenia Anderson modeled for a gilded statue of victory holding a palm frond that this man made, which stands next to an equestrian statue in Manhattan's Grand Army Plaza. Liberty strides forward with an olive branch on the (*) obverse of an object this man designed. This man founded an influential art colony in Cornish, New Hampshire. This artist of the Standing Lincoln in Lincoln park created a cast bronze sculpture in which soldiers march around the title equestrian as Victory flies overhead. For 10 points, name this beaux-arts sculptor of a namesake Double Eagle coin, as well as memorials to William T. Sherman and Robert Shaw.""]",0.420644752,['Augustus Saint-Gaudens'],artist
"[""This artist painted a street sweeper and a woman in green holding her hands above her head in The Dead Man, and depicted blue figures and a seven-candle chandelier above a marriage ceremony in The Wedding Candles. One of his paintings shows a white Eiffel Tower behind himself painting, and another shows a man toting a sack an army advancing with red flags, and a burning place of worship around the central dying figure. This artist of White Crucifixion and Self Portrait with Seven Fingers painted some upside-down houses and a sheep facing a green man's face in another work. For 10 points, name this Belarussian who painted I and the Village.""]",0.083232879,['Marc'],artist
"[""This artist depicted his wife sitting in a car and painting a mountain in his painting Jo in Wyoming. His Two Comedians shows the title figures clad in white holding hands on a stage. He depicted a pensive, blond woman in a blue uniform leaning against the wall of a theater in one of his works, and painted a row of businesses, including a barber's shop, in another. In addition to his New York Movie and Early Sunday Morning, this artist painted a pair of women having lunch with parts of the title sign visible through the window in Chop Suey. For 10 points, name this American painter, best known for depicting a group of nocturnal diner patrons in Nighthawks.""]",0.692733966,['Edward Hopper'],artist
